year,week,State,reported_ILI_cases_per_week
2013,4,Washington,181
2013,5,Arizona,824
2013,5,California,2349
2013,5,Colorado,687
2013,5,Georgia,651
2013,5,Illinois,1572
2013,5,New York,468
2013,5,Pennsylvania,486
2013,5,Texas,2367
2013,5,Washington,174
2013,6,Arizona,730
2013,6,California,1993
2013,6,Colorado,593
2013,6,Georgia,686
2013,6,Illinois,1381
2013,6,New York,419
2013,6,Pennsylvania,412
2013,6,Texas,1822
2013,6,Washington,157
2013,7,Arizona,635
2013,7,California,1746
2013,7,Colorado,434
2013,7,Georgia,636
2013,7,Illinois,1282
2013,7,New York,540
2013,7,Pennsylvania,507
2013,7,Texas,1514
2013,7,Washington,114
2013,8,Arizona,490
2013,8,California,1365
2013,8,Colorado,396
2013,8,Georgia,660
2013,8,Illinois,1064
2013,8,New York,551
2013,8,Pennsylvania,431
2013,8,Texas,1247
2013,8,Washington,88
2013,9,Arizona,421
2013,9,California,1354
2013,9,Colorado,331
2013,9,Georgia,674
2013,9,Illinois,1194
2013,9,New York,434
2013,9,Pennsylvania,452
2013,9,Texas,1272
2013,9,Washington,96
2013,10,Arizona,358
2013,10,California,1399
2013,10,Colorado,262
2013,10,Georgia,754
2013,10,Illinois,1102
2013,10,New York,369
2013,10,Pennsylvania,350
2013,10,Texas,1350
2013,10,Washington,80
2013,11,Arizona,281
2013,11,California,1159
2013,11,Colorado,229
2013,11,Georgia,729
2013,11,Illinois,1073
2013,11,New York,378
2013,11,Pennsylvania,387
2013,11,Texas,1028
2013,11,Washington,47
2013,12,Arizona,239
2013,12,California,1017
2013,12,Colorado,156
2013,12,Georgia,590
2013,12,Illinois,1039
2013,12,New York,289
2013,12,Pennsylvania,296
2013,12,Texas,1042
2013,12,Washington,31
2013,13,Arizona,166
2013,13,California,871
2013,13,Colorado,147
2013,13,Georgia,572
2013,13,Illinois,954
2013,13,New York,179
2013,13,Pennsylvania,222
2013,13,Texas,913
2013,13,Washington,41
2013,14,Arizona,180
2013,14,California,715
2013,14,Colorado,133
2013,14,Georgia,480
2013,14,Illinois,932
2013,14,New York,173
2013,14,Pennsylvania,226
2013,14,Texas,806
2013,14,Washington,49
2013,15,Arizona,188
2013,15,California,687
2013,15,Colorado,112
2013,15,Georgia,327
2013,15,Illinois,746
2013,15,New York,162
2013,15,Pennsylvania,179
2013,15,Texas,835
2013,15,Washington,31
2013,16,Arizona,151
